MainPlayer,MostSimilar,SimScore
Al Horford,Paul Millsap,78.68566787
Al-Farouq Aminu,Omri Casspi,84.56093955
Alex Len,Greg Monroe,81.86667109
Allen Crabbe,CJ Miles,81.39528978
Andre Drummond,Robin Lopez,82.83585858
Andrew Wiggins,Kevin Durant,76.51357007
Anthony Davis,Karl-Anthony Towns,85.63944113
Arron Afflalo,Kawhi Leonard,72.6860584
Avery Bradley,Gary Harris,75.48223817
Blake Griffin,Anthony Davis,76.44248092
Bojan Bogdanovic,Chandler Parsons,80.382599
Bradley Beal,Devin Booker,86.45237923
Brandon Knight,CJ McCollum,89.09281003
Brook Lopez,Nikola Vucevic,83.90932995
CJ McCollum,Monta Ellis,89.20609021
CJ Miles,Allen Crabbe,81.39528978
Carmelo Anthony,Kobe Bryant,65.2440747
Chandler Parsons,Kentavious Caldwell-Pope,80.83272934
Chris Bosh,Al Horford,65.43981886
Chris Paul,Reggie Jackson,84.98225373
Courtney Lee,Kent Bazemore,79.64194
D'Angelo Russell,Goran Dragic,88.95177054
Damian Lillard,Kyrie Irving,86.08547825
Danilo Gallinari,Marcus Morris,79.25546932
Darren Collison,Will Barton,78.77027935
DeMar DeRozan,Deron Williams,76.69860041
DeMarcus Cousins,Markieff Morris,76.79985869
Dennis Schroder,Tony Parker,89.63125968
Deron Williams,Khris Middleton,80.98365021
Derrick Favors,Brook Lopez,72.2033729
Derrick Rose,Ish Smith,89.64054692
Devin Booker,Bradley Beal,86.45237923
Dion Waiters,Joe Johnson,77.22400808
Dirk Nowitzki,Kevin Love,76.83126563
Doug McDermott,Gary Harris,73.34944987
Draymond Green,Paul Millsap,70.87318301
Dwyane Wade,Russell Westbrook,85.47710204
Elfrid Payton,Victor Oladipo,85.71167731
Emmanuel Mudiay,Kemba Walker,88.37340927
Enes Kanter,Hassan Whiteside,86.33001983
Ersan Ilyasova,Jared Sullinger,66.15406108
Evan Fournier,Kentavious Caldwell-Pope,87.18084943
Evan Turner,Dwyane Wade,82.25722885
Gary Harris,Kent Bazemore,77.47766173
George Hill,Kentavious Caldwell-Pope,82.15907192
Giannis Antetokounmpo,Rudy Gay,76.02428782
Goran Dragic,Monta Ellis,91.92752349
Gordon Hayward,Zach LaVine,79.07586831
Greg Monroe,Alex Len,81.86667109
Harrison Barnes,Jeff Green,82.84797931
Hassan Whiteside,Enes Kanter,86.33001983
Hollis Thompson,Trevor Ariza,84.69267356
Isaiah Canaan,Rodney Hood,79.79523933
Isaiah Thomas,Zach LaVine,92.78593653
Ish Smith,Derrick Rose,89.64054692
J.R. Smith,Terrence Ross,75.76163089
JJ Redick,Kyle Korver,71.97241735
Jabari Parker,Rudy Gay,70.31443167
Jae Crowder,Al-Farouq Aminu,83.39250875
Jahlil Okafor,Zach Randolph,73.06726861
Jamal Crawford,Victor Oladipo,73.91454625
James Harden,Jamal Crawford,71.30351472
Jared Sullinger,Paul Millsap,79.89312947
Jeff Green,Harrison Barnes,82.84797931
Jeff Teague,Kyrie Irving,90.61911803
Jeremy Lin,Victor Oladipo,88.41397762
Jimmy Butler,Evan Turner,80.70672244
Joe Johnson,Dion Waiters,77.22400808
John Wall,Ish Smith,87.60564494
Jordan Clarkson,Kyle Lowry,85.97395086
Jose Juan Barea,Dennis Schroder,86.76899004
Jrue Holiday,Dennis Schroder,85.50231922
Julius Randle,Zach Randolph,61.13807869
Karl-Anthony Towns,Anthony Davis,85.63944113
Kawhi Leonard,Marcus Morris,79.59058797
Kemba Walker,Ish Smith,88.78350151
Kenneth Faried,Enes Kanter,80.69671857
Kent Bazemore,Courtney Lee,79.64194
Kentavious Caldwell-Pope,Evan Fournier,87.18084943
Kevin Durant,Paul George,80.42921007
Kevin Love,Dirk Nowitzki,76.83126563
Khris Middleton,Deron Williams,80.98365021
Klay Thompson,Marco Belinelli,66.69664162
Kobe Bryant,LeBron James,69.73664427
Kristaps Porzingis,Jared Sullinger,79.70197093
Kyle Korver,Marco Belinelli,82.32571864
Kyle Lowry,Monta Ellis,87.69428617
Kyrie Irving,Jeff Teague,90.61911803
LaMarcus Aldridge,Nikola Vucevic,77.9452908
LeBron James,James Harden,69.98714006
Lou Williams,Mike Conley,88.4831692
Luol Deng,Nikola Mirotic,82.58071089
Marc Gasol,Brook Lopez,70.66258329
Marcin Gortat,Derrick Favors,68.60427904
Marco Belinelli,Kyle Korver,82.32571864
Marcus Morris,Kawhi Leonard,79.59058797
Markieff Morris,Jared Sullinger,76.9351306
Marvin Williams,Luol Deng,71.89307117
Matt Barnes,Otto Porter,84.47391987
Mike Conley,Lou Williams,88.4831692
Mirza Teletovic,Nikola Mirotic,76.60380948
Monta Ellis,Goran Dragic,91.92752349
Nicolas Batum,Paul George,80.7027024
Nikola Mirotic,Luol Deng,82.58071089
Nikola Vucevic,Brook Lopez,83.90932995
Omri Casspi,Al-Farouq Aminu,84.56093955
Otto Porter,Matt Barnes,84.47391987
Patty Mills,Evan Fournier,86.23967946
Pau Gasol,Jared Sullinger,79.56902111
Paul George,Nicolas Batum,80.7027024
Paul Millsap,Jared Sullinger,79.89312947
Rajon Rondo,Derrick Rose,84.58539093
Raymond Felton,Ish Smith,84.76989901
Reggie Jackson,Chris Paul,84.98225373
Robert Covington,Al-Farouq Aminu,82.64043903
Robin Lopez,Andre Drummond,82.83585858
Rodney Hood,Isaiah Canaan,79.79523933
Rudy Gay,Danilo Gallinari,76.33190846
Russell Westbrook,Dwyane Wade,85.47710204
Ryan Anderson,DeMarcus Cousins,73.76909924
Serge Ibaka,Al Horford,73.07581854
Shabazz Muhammad,Rudy Gay,70.24972105
Stephen Curry,Devin Booker,82.59640819
Terrence Ross,J.R. Smith,75.76163089
Thaddeus Young,Paul Millsap,77.46925879
Tobias Harris,Jeff Green,76.30537987
Tony Parker,Dennis Schroder,89.63125968
Trevor Ariza,Hollis Thompson,84.69267356
Trey Burke,Jeremy Lin,79.67028022
Victor Oladipo,Jeremy Lin,88.41397762
Wesley Matthews,Bojan Bogdanovic,75.70824289
Will Barton,Kentavious Caldwell-Pope,83.86358017
Zach LaVine,Isaiah Thomas,92.78593653
Zach Randolph,Jahlil Okafor,73.06726861
